86,赵吟琪,深圳晶泰科技有限公司
87,蔡书玮,华东师范大学
88,黄柏仪,上海毕得医药科技有限公司
89,林佩玲,虹口区教育局
90,郑昌梦,山东大学
91,傅智翔,北京大学
92,谢佳儒,上海科技大学
93,邓诗涵,山西大学
94,吴怡婷,华东师范大学
95,李莉火,复旦大学
96,吴心真,东北师范大学
97,李建智,华东师范大学第二附属中学
98,许智云,中国科学院上海有机化学研究所
99,方一强,中国科学技术大学
100,刘美玲,杜马司科学仪器（江苏）有限公司
101,张茂以,上海汇析精密仪器有限公司
102,王淑芳,华南理工大学
103,蔡依婷,国家纳米科学中心
104,白凯修,杜马司科学仪器（江苏）有限公司
105,林家纶,西安交通大学
106,韩宁政,华东理工大学
107,叶洁启,南开大学
108,陈宜宁,上海埃松气流控制技术有限公司
109,陈枝盈,南京大学
110,张虹伦,中国科学院上海有机化学研究所
111,周白芷,中国科学院上海药物所
112,王俊民,上海市教育考试院
113,邱雅雯,复旦大学
114,张姿妤,上海交通大学
115,黄丽昆,四川大学
116,李仁杰,江苏汉凰科技有限公司
117,涂昀琬,杜马司科学仪器（江苏）有限公司
118,吴佳瑞,中国科学技术大学
119,卢志铭,华中科技大学
120,张仪湖,华东师范大学附属东昌中学
121,张吉惟,四川大学
122,荣姿康,中国科学院上海有机化学研究所
123,黄晓萍,武汉大学
124,林慧颖,七宝中学
125,武淑芬,上海市上海中学
126,徐采伶,中国科学院学部工作局
127,黄芸欢,福州大学
128,黎慧萱,南开大学
129,黄文隆,中国科学院上海有机化学研究所
130,柯乔喜,上海大学
131,李小爱,南京大学
132,叶元映,上海交通大学
133,李志宏,复旦大学
134,张诗刚,上海交通大学附属中学
135,罗静蓁,上海科技大学
136,潘欣臻,湖南大学
137,李宜豪,上海汇析精密仪器有限公司
138,陈伯薇,安徽国为智能科技有限公司
139,黄盛玫,南开大学
140,王秀玲,复旦大学
141,翁惠珠,华南理工大学 
142,郑丽青,复旦大学
143,阮馨学,上海理工大学
144,刘姿婷,北京大学
145,陈政倩,华南师范大学
146,李升毓,武汉鄂斯鸿眸科技有限公司
147,叶茜彦,合肥微元素实验室设备有限公司
148,林国瑞,中国科学院上海有机化学研究所
149,杨韦成,上海交通大学
150,杨大雪,上海交通大学
151,陈怡婷,北京伊诺凯科技有限公司
152,毛展霞,上海交通大学
153,李佳和,江苏汉凰科技有限公司
154,简健昀,上海易恩化学技术有限公司
155,林雅南,南方科技大学
156,谢佳雯,安徽凯泰莱铂科技有限公司
157,吕致盈,华东师范大学
158,林孟富,大龙兴创实验仪器（北京）股份公司
159,吴俊伯,南方科技大学
160,李姿伶,南京大学
161,陈素达,复旦大学
162,王依婷,武汉大学
163,丁汉臻,中国科学院化学研究所
164,郭冰宇,华东师范大学
165,倪怡芳,中国科学院上海有机化学研究所
166,郭贤青,江苏汉凰科技有限公司
167,李中冰,北京大学
168,高咏钰,上海交通大学
169,陈智筠,华东师范大学
170,苏玮伦,上海易恩化学技术有限公司
171,李雅惠,厦门大学
172,林智超,中国科学院化学研究所
173,陈志宏,上海埃松气流控制技术有限公司
174,陈伟伦,杭州惠创仪器设备有限公司
175,吴美玉,华南理工大学
176,阮晴桦,大龙兴创实验仪器（北京）股份公司
177,黎宏儒,同济大学
178,夏志豪,中国科学院上海药物所
179,黄怡强,复旦大学
180,邓海来,复旦大学附属中学
181,王淑月,上海师范大学
182,谢彦文,天津大学
183,张裕忠,沃特世科技（上海）有限公司
184,沈俊君,复旦大学
185,廖婉宏,上海工程技术大学
186,潘吉维,华东师范大学
187,曹敏有,南开大学
188,陈建豪,海军军医大学
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
